ID,Author,Group,Year,Focal_insect,Focal_insect_resolved_name,F_Guild,Focal_insect_diet_breadth,Competing_insect,Competing_insect_resolved_name,C_Guild,Competing_insect_diet_breadth,Host_plant,Phylogenetic_distance_between_focal_insect_and_competing_insect,Spatial_separation,temporal_separation,Fitness_component,Control_mean,Control_standard_error,Control_standard_deviation,Control_sample_size,Experimental_mean,Experimental_standard_error,Experimental_standard_deviation,Experimental_sample_size,yi_g,vi
1,Abdala-Roberts,Agrawal,2012,Aphis_asclepiadis,Aphis asclepiadis Fitch- 1851,Sucker,1,Danaus_plexippus,"Danaus (Anosia) plexippus Linnaeus, 1758",Chewer,2,Asclepias syriaca,671.699293,no separation,complete,Abundance,3.18,1.97,19.7,100,4.75,1.37,13.7,100,-0.092179797,0.020021243
2,Abdala-Roberts,Agrawal,2012,Aphis_asclepiadis,Aphis asclepiadis Fitch- 1851,Sucker,1,Danaus_plexippus,"Danaus (Anosia) plexippus Linnaeus, 1758",Chewer,2,Asclepias syriaca,671.699293,no separation,complete,Abundance,2.59,2.55,25.5,100,5.78,3.21,32.1,100,-0.109626395,0.020030045
3,Abdala-Roberts,Agrawal,2012,Myzocallis_asclepiadis,"Myzocallis (Neomyzocallis) asclepiadis (Monell, 1879)",Sucker,1,Danaus_plexippus,"Danaus (Anosia) plexippus Linnaeus, 1758",Chewer,2,Asclepias syriaca,671.699293,no separation,complete,Abundance,67.2,16,160,100,92.4,17,170,100,-0.152078098,0.020057819
4,Abdala-Roberts,Agrawal,2012,Myzocallis_asclepiadis,"Myzocallis (Neomyzocallis) asclepiadis (Monell, 1879)",Sucker,1,Danaus_plexippus,"Danaus (Anosia) plexippus Linnaeus, 1758",Chewer,2,Asclepias syriaca,671.699293,no separation,complete,Abundance,91.5,19.5,195,100,44.9,9.1,91,100,0.305092594,0.020232704
5,Agrawal_1,Agrawal,1999,Spodoptera_exigua,"Spodoptera exigua Hübner, 1803/08",Chewer,19,Pieris_rapae,"Pieris rapae (Linnaeus, 1758)",Chewer,5,Raphanus raphanistrum,187.30709,no separation,complete,Body_size,1.82,0.11,0.33,9,1.31,0.13,0.367695526,8,1.390389032,0.292969395
6,Agrawal_1,Agrawal,1999,Spodoptera_exigua,"Spodoptera exigua Hübner, 1803/08",Chewer,19,Pieris_rapae,"Pieris rapae (Linnaeus, 1758)",Chewer,5,Raphanus raphanistrum,187.30709,no separation,complete,Body_size,3.21,0.15,0.45,9,1.76,0.27,0.763675324,8,2.23179591,0.382608552
7,Agrawal_1,Agrawal,1999,Spodoptera_exigua,"Spodoptera exigua Hübner, 1803/08",Chewer,19,Pieris_rapae,"Pieris rapae (Linnaeus, 1758)",Chewer,5,Raphanus sativus,187.30709,no separation,complete,Body_size,0.00169,0.00011,0.000527542,23,0.00086,0.0001,0.000519615,27,1.561264482,0.104890766
9,Agrawal_1,Agrawal,1999,Spodoptera_exigua,"Spodoptera exigua Hübner, 1803/08",Chewer,19,Pieris_rapae,"Pieris rapae (Linnaeus, 1758)",Chewer,5,Raphanus sativus,187.30709,no separation,complete,Other,0.13,0.02,0.095916631,23,0.12,0.03,0.155884573,27,0.074662742,0.080571043
11,Agrawal_1,Agrawal,1999,Helicoverpa_zea,"Helicoverpa zea Boddie, 1850",Chewer,21,Pieris_rapae,"Pieris rapae (Linnaeus, 1758)",Chewer,5,Raphanus sativus,187.30709,no separation,complete,Feeding_preference,1,NA,NA,9,8,NA,NA,9,2.520535202,0.826446281
18,Agrawal_3,Agrawal,2004,Liriomyza_asclepiadis,"Liriomyza asclepiadis Spencer, 1969",Internal_feeder,NA,Tetraopes_tetraophthalmus,"Tetraopes tetraophthalmus Adams, 1915",Internal_feeder,Not found,Asclepias syriaca,NA,spatial separation,incomplete,Abundance,8.3,0.9,5.170106382,33,7.4,1,5.744562647,33,0.162748959,0.060806721
