authors,year,journal,species,clade,variation type,trophic level,removal/replacement,terrestrial/aquatic,setting,abiotic/biotic,trophic level,interaction,response type,class,measurement type,original notation,intra mean,intra sd,intra N,species mean,species sd,species N
Shuster et al.,2006,Evolution,Populus angustifolia,angiosperms,genotype,producer,replacement,terrestrial,field,biotic,consumer,direct,abundance,invertebrates: arthropods,number,arthropod abundance,13.9405,14.5301,31,6.7249,13.5228,48
Shuster et al.,2006,Evolution,Populus angustifolia,angiosperms,genotype,producer,replacement,terrestrial,field,biotic,consumer,direct,composition,invertebrates: arthropods,nmds,arthropod NMDS axis,0.1478,0.146,31,0.2164,0.2412,48
Shuster et al.,2006,Evolution,Populus fremontii,angiosperms,genotype,producer,replacement,terrestrial,field,biotic,consumer,direct,abundance,invertebrates: arthropods,abundance,arthropod abundance,12.8583,10.5014,17,6.7249,13.5228,48
Shuster et al.,2006,Evolution,Populus fremontii,angiosperms,genotype,producer,replacement,terrestrial,field,biotic,consumer,direct,composition,invertebrates: arthropods,nmds,arthropod NMDS axis,0.2673,0.3143,17,0.2164,0.2412,48
Schweitzer et al.,2008,Ecology,Populus angustifolia,angiosperms,genotype,producer,replacement,terrestrial,field,biotic,consumer,indirect,abundance,N: microbes,biomass,microbe N biomass,33.8502,51.6059,16,12.9813,53.5932,31
Schweitzer et al.,2008,Ecology,Populus angustifolia,angiosperms,genotype,producer,replacement,terrestrial,field,biotic,consumer,indirect,abundance,C: microbes,biomass,microbe C biomass,4.955,13.5868,16,0.9403,12.1781,31
Schweitzer et al.,2008,Ecology,Populus angustifolia,angiosperms,genotype,producer,replacement,terrestrial,field,biotic,consumer,indirect,abundance,phospholipid fatty acids,concentration,PLFA,0.1703,0.1414,16,0.0932,0.1265,31
Schweitzer et al.,2008,Ecology,Populus angustifolia,angiosperms,genotype,producer,replacement,terrestrial,field,biotic,consumer,indirect,composition,microbe phospholipid fatty acids,nmds,PLFA microbes NMDS axis,0.4467,1.069,16,0.0988,0.9587,31
Schweitzer et al.,2008,Ecology,Populus fremontii,angiosperms,genotype,producer,replacement,terrestrial,field,biotic,consumer,indirect,abundance,N: microbes,biomass,microbe N biomass,22.2439,56.6409,15,12.9813,53.5932,31
Schweitzer et al.,2008,Ecology,Populus fremontii,angiosperms,genotype,producer,replacement,terrestrial,field,biotic,consumer,indirect,abundance,C: microbes,biomass,microbe C biomass,9.2278,10.9325,15,0.9403,12.1781,31
Schweitzer et al.,2008,Ecology,Populus fremontii,angiosperms,genotype,producer,replacement,terrestrial,field,biotic,consumer,indirect,composition,microbe phospholipid fatty acids,nmds,PLFA microbes NMDS axis,0.3929,0.86,15,0.0988,0.9587,31
Schweitzer et al.,2008,Ecology,Populus fremontii,angiosperms,genotype,producer,replacement,terrestrial,field,biotic,nutrient,indirect,abundance,phospholipid fatty acids,concentration,PLFA,0.0381,0.0898,15,0.0932,0.1265,31
Crutsinger et al.,2009,Basic and Applied Ecology,Solidago altissima,angiosperms,genotype,producer,replacement,terrestrial,field,biotic,consumer,direct,rate,mass decay,change_mass,mass decay,0.083,0.1052,35,0.3302,0.237,44
Lojewski et al.,2009,Tree Physiology,Populus angustifolia,angiosperms,genotype,producer,replacement,terrestrial,field,biotic,producer,direct,abundance,aboveground primary productivity,concentration,ANPP,192.0428,297.4715,16,1171.3414,885.6976,31
Lojewski et al.,2009,Tree Physiology,Populus fremontii,angiosperms,genotype,producer,replacement,terrestrial,field,biotic,producer,direct,abundance,aboveground primary productivity,biomass,ANPP,611.9621,909.6396,15,1171.3414,885.6976,31
Schweitzer et al.,2011,Population Ecology,Populus angustifolia,angiosperms,genotype,producer,replacement,terrestrial,field,abiotic,nutrient,direct,rate,total N,change_chemical,annual N change,33.702,39.2815,16,13.7906,35.3272,31
Schweitzer et al.,2011,Population Ecology,Populus angustifolia,angiosperms,genotype,producer,replacement,terrestrial,field,abiotic,nutrient,indirect,rate,nitrification,change_chemical,annual nitrification,35.9546,36.5338,16,9.4655,34.4548,31
Schweitzer et al.,2011,Population Ecology,Populus angustifolia,angiosperms,genotype,producer,replacement,terrestrial,field,abiotic,nutrient,direct,abundance,N: soil,percent,percent soil N,0.0885,0.1228,16,0.0254,0.1242,31
Schweitzer et al.,2011,Population Ecology,Populus angustifolia,angiosperms,genotype,producer,replacement,terrestrial,field,abiotic,nutrient,direct,abundance,C: soil,percent,percent soil C,1.894,2.6069,16,1.2689,2.6995,31
Schweitzer et al.,2011,Population Ecology,Populus fremontii,angiosperms,genotype,producer,replacement,terrestrial,field,abiotic,nutrient,direct,rate,total N,change_chemical,annual N change,11.7846,30.2636,15,13.7906,35.3272,31
Schweitzer et al.,2011,Population Ecology,Populus fremontii,angiosperms,genotype,producer,replacement,terrestrial,field,abiotic,nutrient,indirect,rate,nitrification,change_chemical,annual nitrification,13.6491,32.8077,15,9.4655,34.4548,31
